date,Trauma
2018-07-08,15.73
2018-07-09,20.86
2018-07-10,22.23
2018-07-11,23.13
2018-07-12,21.76
2018-07-13,18.73
2018-07-14,17.07
2018-07-15,15.97
2018-07-16,21.48
2018-07-17,22.03
2018-07-18,23.41
2018-07-19,23.13
2018-07-20,19.83
2018-07-21,16.25
2018-07-22,16.52
2018-07-23,22.03
2018-07-24,22.03
2018-07-25,22.03
2018-07-26,23.13
2018-07-27,21.48
2018-07-28,15.97
2018-07-29,18.73
2018-07-30,20.93
2018-07-31,22.31
2018-08-01,22.03
2018-08-02,21.76
2018-08-03,19.0
2018-08-04,17.07
2018-08-05,17.07
2018-08-06,21.2
2018-08-07,22.58
2018-08-08,22.58
2018-08-09,21.2
2018-08-10,20.1
2018-08-11,14.6
2018-08-12,17.35
2018-08-13,22.58
2018-08-14,22.58
2018-08-15,22.58
2018-08-16,22.31
2018-08-17,19.55
2018-08-18,15.7
2018-08-19,17.9
2018-08-20,21.48
2018-08-21,21.48
2018-08-22,22.86
2018-08-23,23.68
2018-08-24,20.93
2018-08-25,16.52
2018-08-26,15.97
2018-08-27,22.03
2018-08-28,23.13
2018-08-29,23.41
2018-08-30,21.48
2018-08-31,19.28
2018-09-01,14.04
2018-09-02,15.97
2018-09-03,17.35
2018-09-04,20.65
2018-09-05,22.03
2018-09-06,22.86
2018-09-07,20.93
2018-09-08,15.97
2018-09-09,17.62
2018-09-10,20.93
2018-09-11,22.03
2018-09-12,22.58
2018-09-13,22.31
2018-09-14,20.65
2018-09-15,15.97
2018-09-16,17.62
2018-09-17,22.86
2018-09-18,23.68
2018-09-19,23.68
2018-09-20,22.31
2018-09-21,22.58
2018-09-22,17.62
2018-09-23,19.0
2018-09-24,24.51
2018-09-25,23.68
2018-09-26,24.51
2018-09-27,27.54
2018-09-28,23.41
2018-09-29,20.38
2018-09-30,17.35
2018-10-01,24.51
2018-10-02,24.23
2018-10-03,26.99
2018-10-04,23.96
2018-10-05,22.31
2018-10-06,16.8
2018-10-07,16.8
2018-10-08,24.23
2018-10-09,23.68
2018-10-10,24.23
2018-10-11,23.41
2018-10-12,22.58
2018-10-13,18.18
2018-10-14,18.45
2018-10-15,23.41
2018-10-16,26.99
2018-10-17,24.78
2018-10-18,26.71
2018-10-19,23.13
2018-10-20,16.52
2018-10-21,18.45
2018-10-22,24.51
2018-10-23,25.06
2018-10-24,23.13
2018-10-25,24.78
2018-10-26,23.96
2018-10-27,17.35
2018-10-28,17.07
2018-10-29,23.68
2018-10-30,25.34
2018-10-31,22.86
2018-11-01,25.06
2018-11-02,22.31
2018-11-03,19.28
2018-11-04,18.73
2018-11-05,23.96
2018-11-06,22.58
2018-11-07,22.58
2018-11-08,24.51
2018-11-09,23.41
2018-11-10,18.45
2018-11-11,17.07
2018-11-12,23.13
2018-11-13,26.71
2018-11-14,26.71
2018-11-15,23.96
2018-11-16,22.86
2018-11-17,17.35
2018-11-18,18.73
2018-11-19,22.58
2018-11-20,21.76
2018-11-21,20.38
2018-11-22,12.94
2018-11-23,12.94
2018-11-24,15.42
2018-11-25,16.52
2018-11-26,22.31
2018-11-27,22.31
2018-11-28,26.71
2018-11-29,24.78
2018-11-30,23.41
2018-12-01,18.73
2018-12-02,18.45
2018-12-03,23.68
2018-12-04,25.89
2018-12-05,23.96
2018-12-06,24.23
2018-12-07,20.65
2018-12-08,15.9
2018-12-09,17.02
2018-12-10,23.44
2018-12-11,25.39
2018-12-12,21.76
2018-12-13,23.44
2018-12-14,21.21
2018-12-15,16.18
2018-12-16,15.63
2018-12-17,19.81
2018-12-18,20.93
2018-12-19,20.65
2018-12-20,20.37
2018-12-21,17.3
2018-12-22,12.84
2018-12-23,12.84
2018-12-24,14.23
2018-12-25,11.16
2018-12-26,15.07
2018-12-27,17.58
2018-12-28,17.02
2018-12-29,14.79
2018-12-30,14.51
2018-12-31,15.35
2019-01-01,13.67
2019-01-02,19.53
2019-01-03,20.37
2019-01-04,20.37
2019-01-05,14.51
2019-01-06,16.18
2019-01-07,20.37
2019-01-08,22.32
2019-01-09,22.04
2019-01-10,22.88
2019-01-11,20.65
2019-01-12,16.74
2019-01-13,16.46
2019-01-14,22.6
2019-01-15,24.0
2019-01-16,23.16
2019-01-17,23.44
2019-01-18,20.65
2019-01-19,17.02
2019-01-20,15.07
2019-01-21,18.69
2019-01-22,22.04
2019-01-23,23.44
2019-01-24,22.88
2019-01-25,22.32
2019-01-26,18.69
2019-01-27,18.14
2019-01-28,22.32
2019-01-29,22.04
2019-01-30,23.44
2019-01-31,24.27
2019-02-01,23.16
2019-02-02,18.69
2019-02-03,18.14
2019-02-04,25.39
2019-02-05,24.83
2019-02-06,24.83
2019-02-07,24.0
2019-02-08,24.0
2019-02-09,17.58
2019-02-10,19.53
2019-02-11,22.32
2019-02-12,25.95
2019-02-13,24.27
2019-02-14,23.72
2019-02-15,23.44
2019-02-16,16.74
2019-02-17,17.58
2019-02-18,24.0
2019-02-19,25.67
2019-02-20,25.95
2019-02-21,25.11
2019-02-22,23.16
2019-02-23,18.14
2019-02-24,18.69
2019-02-25,24.83
2019-02-26,25.67
2019-02-27,26.51
2019-02-28,25.67
2019-03-01,24.0
2019-03-02,19.53
2019-03-03,18.42
2019-03-04,24.0
2019-03-05,26.79
2019-03-06,25.67
2019-03-07,26.23
2019-03-08,24.0
2019-03-09,17.3
2019-03-10,19.81
2019-03-11,24.83
2019-03-12,26.51
2019-03-13,24.83
2019-03-14,24.27
2019-03-15,22.88
2019-03-16,18.97
2019-03-17,18.69
2019-03-18,25.39
2019-03-19,27.62
2019-03-20,24.55
2019-03-21,24.83
2019-03-22,21.21
2019-03-23,17.86
2019-03-24,20.09
2019-03-25,24.27
2019-03-26,26.23
2019-03-27,27.9
2019-03-28,24.83
2019-03-29,25.39
2019-03-30,18.69
2019-03-31,18.14
2019-04-01,23.72
2019-04-02,27.34
2019-04-03,25.39
2019-04-04,26.51
2019-04-05,21.21
2019-04-06,16.74
2019-04-07,20.09
2019-04-08,24.0
2019-04-09,27.62
2019-04-10,25.39
2019-04-11,24.83
2019-04-12,24.0
2019-04-13,20.09
2019-04-14,19.53
2019-04-15,22.6
2019-04-16,27.07
2019-04-17,26.79
2019-04-18,23.72
2019-04-19,22.04
2019-04-20,17.86
2019-04-21,18.14
2019-04-22,25.39
2019-04-23,26.79
2019-04-24,26.23
2019-04-25,25.95
2019-04-26,23.44
2019-04-27,18.69
2019-04-28,18.69
2019-04-29,24.83
2019-04-30,26.79
2019-05-01,26.51
2019-05-02,24.0
2019-05-03,23.44
2019-05-04,19.53
2019-05-05,19.25
2019-05-06,24.0
2019-05-07,23.99
2019-05-08,24.86
2019-05-09,24.86
2019-05-10,23.12
2019-05-11,15.9
2019-05-12,16.76
2019-05-13,23.41
2019-05-14,24.86
2019-05-15,24.28
2019-05-16,23.12
2019-05-17,22.25
2019-05-18,18.79
2019-05-19,18.79
2019-05-20,21.97
2019-05-21,23.41
2019-05-22,23.99
2019-05-23,23.12
2019-05-24,20.23
2019-05-25,16.76
2019-05-26,17.05
2019-05-27,16.76
2019-05-28,23.12
2019-05-29,24.28
2019-05-30,23.12
2019-05-31,22.83
2019-06-01,17.05
2019-06-02,16.76
2019-06-03,22.83
2019-06-04,25.15
2019-06-05,22.83
2019-06-06,22.83
2019-06-07,22.83
2019-06-08,16.76
2019-06-09,17.63
2019-06-10,21.68
2019-06-11,24.86
2019-06-12,23.41
2019-06-13,23.41
2019-06-14,21.39
2019-06-15,17.92
2019-06-16,16.76
2019-06-17,23.99
2019-06-18,23.99
2019-06-19,23.7
2019-06-20,24.28
2019-06-21,20.81
